order_no,issued_date,closes_area,closure_type,closes_edit
PTN-2010-169,2010-06-08,"Area 3 to 10, except 6-13, 6-17, 7-1 to 7-2 and 7-31",biotoxins,"area   except 6~13  6~17  7~1, 7~2 and 7~31"
PTN-2010-171,2010-06-09,"Area 25, except 25-1 to 25-5, 25-8, 25-9, 25-11 and 25-12",biotoxins,"area 25  except 25~1, 25~2, 25~3, 25~4, 25~5  25~8  25~9  25~11 and 25~12"
PTN-2010-172,2010-06-09,"SA 25-1 to 25-5, 25-8, 25-9, 25-11",biotoxins,"sa 25~1, 25~2, 25~3, 25~4, 25~5  25~8  25~9  25~11"
PTN-2010-174,2010-06-16,"Area 3 to 10, except 7-1, 7-2 and 7-31",biotoxins,area   except 7~1  7~2 and 7~31
PTN-2010-177,2010-06-16,"Area 18 except 18-1 to 18-4, 18-6, 18-9 and 18-10",biotoxins,"area 18 except 18~1, 18~2, 18~3, 18~4  18~6  18~9 and 18~10"
PTN-2010-178,2010-06-16,SA 19-8 to 19-12,biotoxins,"sa 19~8, 19~9, 19~10, 19~11, 19~12"
PTN-2010-179,2010-06-17,"Area 25 except SA 25-1 to 25-5, 25-11, 25-12",biotoxins,"area 25 except sa 25~1, 25~2, 25~3, 25~4, 25~5  25~11  25~12"
PTN-2010-180,2010-06-17,"SA 25-1 to 25-5, 25-11",biotoxins,"sa 25~1, 25~2, 25~3, 25~4, 25~5  25~11"
PTN-2010-181,2010-06-17,Area 25 except SA 25-1 to 25-5,biotoxins,"area 25 except sa 25~1, 25~2, 25~3, 25~4, 25~5"
PTN-2010-182,2010-06-17,SA 25-1 to 25-5,biotoxins,"sa 25~1, 25~2, 25~3, 25~4, 25~5"
PTN-2010-183,2010-06-17,Area 18 (except 18-1 to 18-4 and 18-9),biotoxins,"area 18 (except 18~1, 18~2, 18~3, 18~4 and 18~9)"
PTN-2010-185,2010-06-18,Area 18 (except 18-2 to 18-4 and 18-9),biotoxins,"area 18 (except 18~2, 18~3, 18~4 and 18~9)"
PTN-2010-186,2010-06-18,"Areas 12 to 29, except 13-1 to 13-12, 13-14 to 13-17, 14-5, 14-8, 14-15, 15-4, 15-5, 16-16,  17-20, 23-6 (except Useless Inlet)",biotoxins,"areas   except 13~1, 13~2, 13~3, 13~4, 13~5, 13~6, 13~7, 13~8, 13~9, 13~10, 13~11, 13~12  13~14, 13~15, 13~16, 13~17  14~5  14~8  14~15  15~4  15~5  16~16  17~20  23~6 ()"
PTN-2010-187,2010-06-18,Area 24 except 24-8 to 24-12,biotoxins,"area 24 except 24~8, 24~9, 24~10, 24~11, 24~12"
PTN-2010-188,2010-06-18,SA 24-9 to 24-12,biotoxins,"sa 24~9, 24~10, 24~11, 24~12"
PTN-2010-191,2010-06-23,"Area 12, Area 13, except SA 13-1 to 13-12, 13-14 to 13-18, Area 14 (except SA 14-5, 14-8, 14-15, Area 15 (except SA 15-4, 15-5), Areas 16 to 29 (except SA 16-16, 17-20, 18-1, 23-6)",biotoxins,"area 12  area 13  except sa 13~1, 13~2, 13~3, 13~4, 13~5, 13~6, 13~7, 13~8, 13~9, 13~10, 13~11, 13~12  13~14, 13~15, 13~16, 13~17, 13~18  area 14 (except sa 14~5  14~8  14~15  area 15 (except sa 15~4  15~5)  areas  (except sa 16~16  17~20  18~1  23~6)"
PTN-2010-194,2010-06-24,"Area 18 except 18-1 to 18-4, 18-6, 18-9 and 18-10",biotoxins,"area 18 except 18~1, 18~2, 18~3, 18~4  18~6  18~9 and 18~10"
PTN-2010-195,2010-06-25,Subareas 16-3 to 16-20 and 16-22,biotoxins,"subareas 16~3, 16~4, 16~5, 16~6, 16~7, 16~8, 16~9, 16~10, 16~11, 16~12, 16~13, 16~14, 16~15, 16~16, 16~17, 16~18, 16~19, 16~20 and 16~22"
PTN-2010-2,2010-01-08,"SA 7-9, 7-12, 17-15 and 7-21 to 7-24",biotoxins,"sa 7~9  7~12  17~15 and 7~21, 7~22, 7~23, 7~24"
PTN-2010-201,2010-07-02,"Area 12, Area 13, except SA 13-1 to 13-12, 13-14 to 13-17, Area 14 (except SA 14-5, 14-8, 14-15, Area 15 (except SA 15-4, 15-5), Areas 16 to 29 (except SA 16-16, 17-20,  23-6)",biotoxins,"area 12  area 13  except sa 13~1, 13~2, 13~3, 13~4, 13~5, 13~6, 13~7, 13~8, 13~9, 13~10, 13~11, 13~12  13~14, 13~15, 13~16, 13~17  area 14 (except sa 14~5  14~8  14~15  area 15 (except sa 15~4  15~5)  areas  (except sa 16~16  17~20  23~6)"
PTN-2010-206,2010-07-07,Area 25 except SA 25-1 to 25-3,biotoxins,"area 25 except sa 25~1, 25~2, 25~3"
PTN-2010-207,2010-07-07,SA 25-1 to 25-3,biotoxins,"sa 25~1, 25~2, 25~3"
PTN-2010-211,2010-07-15,"Area 27, except SA 27-7 to 27-11",biotoxins,"area 27  except sa 27~7, 27~8, 27~9, 27~10, 27~11"
PTN-2010-212,2010-07-15,SA 27-7 to 27-11,biotoxins,"sa 27~7, 27~8, 27~9, 27~10, 27~11"
PTN-2010-213,2010-07-16,"Area 23, except 23-3 to 23-5,  ptn 23-6, 23-7 to 23-11",biotoxins,"area 23  except 23~3, 23~4, 23~5  ptn 23~6  23~7, 23~8, 23~9, 23~10, 23~11"
PTN-2010-214,2010-07-16,"SA 23-3 to 23-5, ptn 23-6, 23-7 to 23-11",biotoxins,"sa 23~3, 23~4, 23~5  ptn 23~6  23~7, 23~8, 23~9, 23~10, 23~11"
PTN-2010-216,2010-07-21,"Area 16 except 16-3, 16-4, 16-10 to 16-13, 16-16 to 16-22",biotoxins,"area 16 except 16~3  16~4  16~10, 16~11, 16~12, 16~13  16~16, 16~17, 16~18, 16~19, 16~20, 16~21, 16~22"
PTN-2010-217,2010-07-21,Subareas 16-1 to 16-20 and 16-22,biotoxins,"subareas 16~1, 16~2, 16~3, 16~4, 16~5, 16~6, 16~7, 16~8, 16~9, 16~10, 16~11, 16~12, 16~13, 16~14, 16~15, 16~16, 16~17, 16~18, 16~19, 16~20 and 16~22"
PTN-2010-218,2010-07-30,"Area 25, except 25-1 to 25-3 and 25-8",biotoxins,"area 25  except 25~1, 25~2, 25~3 and 25~8"
PTN-2010-219,2010-07-30,Subareas 25-1 to 25-3 and 25-8,biotoxins,"subareas 25~1, 25~2, 25~3 and 25~8"
PTN-2010-224,2010-08-13,"Area 16 except 16-1 to 16-4, 16-10 to 16-13, 16-16 to 16-22",biotoxins,"area 16 except 16~1, 16~2, 16~3, 16~4  16~10, 16~11, 16~12, 16~13  16~16, 16~17, 16~18, 16~19, 16~20, 16~21, 16~22"
PTN-2010-225,2010-08-13,Area 16-3 to 16-20 and 16-22,biotoxins,"area 16~3, 16~4, 16~5, 16~6, 16~7, 16~8, 16~9, 16~10, 16~11, 16~12, 16~13, 16~14, 16~15, 16~16, 16~17, 16~18, 16~19, 16~20 and 16~22"
PTN-2010-226,2010-08-13,"Area 25 except 25-1 to 25-3, 25-6 to 25-8 and 25-13 to 25-15",biotoxins,"area 25 except 25~1, 25~2, 25~3  25~6, 25~7, 25~8 and 25~13 to 25~15"
PTN-2010-227,2010-08-13,"25-6, 25-7, 25-13 to 25-15",biotoxins,"25~6  25~7  25~13, 25~14, 25~15"
PTN-2010-232,2010-08-18,"Area 12, Area 13, except SA 13-1 to 13-12, 13-14 to 13-17, Area 14 (except SA 14-5, 14-8, 14-15, Area 15 (except SA 15-4, 15-5), Areas 16 to 29 (except SA 16-16, 17-20,  23-6)",biotoxins,"area 12  area 13  except sa 13~1, 13~2, 13~3, 13~4, 13~5, 13~6, 13~7, 13~8, 13~9, 13~10, 13~11, 13~12  13~14, 13~15, 13~16, 13~17  area 14 (except sa 14~5  14~8  14~15  area 15 (except sa 15~4  15~5)  areas  (except sa 16~16  17~20  23~6)"
PTN-2010-234,2010-08-18,"SA 25-7, 25-13 to 25-15",biotoxins,"sa 25~7  25~13, 25~14, 25~15"
PTN-2010-236,2010-08-20,"Area 13, except 13-1 and 13-12 to 13-17",biotoxins,"area 13  except 13~1 and 13~12, 13~13, 13~14, 13~15, 13~16, 13~17"
PTN-2010-237,2010-08-20,"Areas 12 to 29, except 13-1, 13-12, 13-14 to 13-17, 14-5, 14-8 and 14-15, 15-4, 15-5, 16-16, 17-20, 18-1 ans portion of 23-6",biotoxins,"areas   except 13~1  13~12  13~14, 13~15, 13~16, 13~17  14~5  14~8 and 14~15  15~4  15~5  16~16  17~20  18~1 ans portion of 23~6"
PTN-2010-238,2010-08-20,"Area 16 except 16-1 to 16-4, 16-10,16-11, 16-16 to 16-22",biotoxins,"area 16 except 16~1, 16~2, 16~3, 16~4  16~10 16~11  16~16, 16~17, 16~18, 16~19, 16~20, 16~21, 16~22"
PTN-2010-239,2010-08-20,"Area 27, except SA 27-8 to 27-9",biotoxins,"area 27  except sa 27~8, 27~9"
PTN-2010-241,2010-08-24,Areas 3 to 6,biotoxins,areas 
PTN-2010-244,2010-08-24,"Area 8, except 8-1 to 8-4 and 8-16",biotoxins,"area 8  except 8~1, 8~2, 8~3, 8~4 and 8~16"
PTN-2010-245,2010-08-24,SA 8-1 to 8-4 and 8-16,biotoxins,"sa 8~1, 8~2, 8~3, 8~4 and 8~16"
PTN-2010-247,2010-08-24,"SA 9-1 to 9-4, 9-11 and 9-12",biotoxins,"sa 9~1, 9~2, 9~3, 9~4  9~11 and 9~12"
PTN-2010-252,2010-08-26,"Area 13, except 13-1 to 13-17",biotoxins,"area 13  except 13~1, 13~2, 13~3, 13~4, 13~5, 13~6, 13~7, 13~8, 13~9, 13~10, 13~11, 13~12, 13~13, 13~14, 13~15, 13~16, 13~17"
PTN-2010-253,2010-08-26,"Areas 12 to 29, except 13-1 TO 13-12, 13-14 to 13-17, 14-5, 14-8 and 14-15, 15-4, 15-5, 16-16, 17-20, 18-1 and portion of 23-6",biotoxins,"areas   except 13~1, 13~2, 13~3, 13~4, 13~5, 13~6, 13~7, 13~8, 13~9, 13~10, 13~11, 13~12  13~14, 13~15, 13~16, 13~17  14~5  14~8 and 14~15  15~4  15~5  16~16  17~20  18~1 and portion of 23~6"
PTN-2010-254,2010-08-26,"Area 16 except 16-1 to 16-4, 16-8, 16-10 to 16-13, 16-16 to 16-22",biotoxins,"area 16 except 16~1, 16~2, 16~3, 16~4  16~8  16~10, 16~11, 16~12, 16~13  16~16, 16~17, 16~18, 16~19, 16~20, 16~21, 16~22"
PTN-2010-257,2010-08-26,"Area 20 except 20-1 to 20-3, 20-6 and 20-7",biotoxins,"area 20 except 20~1, 20~2, 20~3  20~6 and 20~7"
PTN-2010-258,2010-08-26,SA 20-1 to 20-3,biotoxins,"sa 20~1, 20~2, 20~3"
PTN-2010-260,2010-08-27,"Area 25 except 25-1 to 25-3, 25-6 to 25-8 and 25-15",biotoxins,"area 25 except 25~1, 25~2, 25~3  25~6, 25~7, 25~8 and 25~15"
PTN-2010-269,2010-09-02,"Area 25, except 25-1 to 25-4, 25-6 and 25-8",biotoxins,"area 25  except 25~1, 25~2, 25~3, 25~4  25~6 and 25~8"
PTN-2010-270,2010-09-02,"SA  25-1 to 25-4, 25-6 and 25-8",biotoxins,"sa 25~1, 25~2, 25~3, 25~4  25~6 and 25~8"
PTN-2010-271,2010-09-02,"Area 27, except 27-7 to 27-11",biotoxins,"area 27  except 27~7, 27~8, 27~9, 27~10, 27~11"
PTN-2010-274,2010-09-03,"Area 24, except 24-2 to 24-4, 24-6, 24-8, 24-9, 24-13 and 24-14",biotoxins,"area 24  except 24~2, 24~3, 24~4  24~6  24~8  24~9  24~13 and 24~14"
PTN-2010-275,2010-09-03,"24-2 to 24-4, 24-6, 24-8, 24-13 and 24-14",biotoxins,"24~2, 24~3, 24~4  24~6  24~8  24~13 and 24~14"
PTN-2010-276,2010-09-08,"Area 16 except SA 16-3, 16-4, 16-8, 16-10 to 16-13 and 16-16 to 16-22",biotoxins,"area 16 except sa 16~3  16~4  16~8  16~10, 16~11, 16~12, 16~13 and 16~16 to 16~22"
PTN-2010-277,2010-09-08,SA 16-1 to 16-22,biotoxins,"sa 16~1, 16~2, 16~3, 16~4, 16~5, 16~6, 16~7, 16~8, 16~9, 16~10, 16~11, 16~12, 16~13, 16~14, 16~15, 16~16, 16~17, 16~18, 16~19, 16~20, 16~21, 16~22"
PTN-2010-278,2010-09-16,"Areas 12 to 29, except 13-1 TO 13-12, 13-14 to 13-17, 14-5, 14-8 and 14-15, 15-4, 15-5, 16-16,  18-1 and portion of 23-6",biotoxins,"areas   except 13~1, 13~2, 13~3, 13~4, 13~5, 13~6, 13~7, 13~8, 13~9, 13~10, 13~11, 13~12  13~14, 13~15, 13~16, 13~17  14~5  14~8 and 14~15  15~4  15~5  16~16  18~1 and portion of 23~6"
PTN-2010-279,2010-09-16,"SA 17-1 to17-3, 17-8, 17-18 TO 17-20",biotoxins,"sa 17~1 to17~3  17~8  17~18, 17~19, 17~20"
PTN-2010-286,2010-09-29,"Area 27, except SA 27-7 to 27-11",biotoxins,"area 27  except sa 27~7, 27~8, 27~9, 27~10, 27~11"
PTN-2010-287,2010-09-29,SA 27-7 to 27-11,biotoxins,"sa 27~7, 27~8, 27~9, 27~10, 27~11"
PTN-2010-288,2010-09-29,"Area 24 except SA 24-4, 24-6 to 24-8, 24-9 and 24-14",biotoxins,"area 24 except sa 24~4  24~6, 24~7, 24~8  24~9 and 24~14"
PTN-2010-289,2010-09-29,"SA 24-4, 24-6 to 24-8, 24-9 and 24-14",biotoxins,"sa 24~4  24~6, 24~7, 24~8  24~9 and 24~14"
PTN-2010-292,2010-10-06,"Areas 12 to 29, except 13-1 TO 13-12, 13-14 to 13-17, 14-5, 14-8 and 14-15, 15-5, 16-16, 18-1, 23-4 and portion of 23-6",biotoxins,"areas   except 13~1, 13~2, 13~3, 13~4, 13~5, 13~6, 13~7, 13~8, 13~9, 13~10, 13~11, 13~12  13~14, 13~15, 13~16, 13~17  14~5  14~8 and 14~15  15~5  16~16  18~1  23~4 and portion of 23~6"
PTN-2010-294,2010-10-06,"Area 15, except 15-1 to 15-3 and 15-5",biotoxins,"area 15  except 15~1, 15~2, 15~3 and 15~5"
PTN-2010-296,2010-10-07,"Area 16, except 16-3 to 16-13 and 16-16 to 16-22",biotoxins,"area 16  except 16~3, 16~4, 16~5, 16~6, 16~7, 16~8, 16~9, 16~10, 16~11, 16~12, 16~13 and 16~16 to 16~22"
PTN-2010-297,2010-10-07,SA 17-1 to 17-3,biotoxins,"sa 17~1, 17~2, 17~3"
PTN-2010-298,2010-10-13,SA 17-18 to 17-20,biotoxins,"sa 17~18, 17~19, 17~20"
PTN-2010-299,2010-10-13,"Area 16, except 16-1 to 16-13 and 16-16 to 16-22",biotoxins,"area 16  except 16~1, 16~2, 16~3, 16~4, 16~5, 16~6, 16~7, 16~8, 16~9, 16~10, 16~11, 16~12, 16~13 and 16~16 to 16~22"
PTN-2010-3,2010-01-08,"Area 12, Area 13, except SA 13-1 to 13-12, 13-14 to 13-18, Area 14 (except SA 14-5, 14-8, 14-15, Area 15 (except SA 15-4, 15-5), Areas 16 to 29 (except SA 16-6, 17-20, 23-6, 29-5)",biotoxins,"area 12  area 13  except sa 13~1, 13~2, 13~3, 13~4, 13~5, 13~6, 13~7, 13~8, 13~9, 13~10, 13~11, 13~12  13~14, 13~15, 13~16, 13~17, 13~18  area 14 (except sa 14~5  14~8  14~15  area 15 (except sa 15~4  15~5)  areas  (except sa 16~6  17~20  23~6  29~5)"
PTN-2010-300,2010-10-15,"Areas 3 to 6, EXCEPT SA 6-11, 6-14, 6-15, 6-16, 6-18, 6-19",biotoxins,areas   except sa 6~11  6~14  6~15  6~16  6~18  6~19
PTN-2010-302,2010-10-15,SA 16-1 to 16-21,biotoxins,"sa 16~1, 16~2, 16~3, 16~4, 16~5, 16~6, 16~7, 16~8, 16~9, 16~10, 16~11, 16~12, 16~13, 16~14, 16~15, 16~16, 16~17, 16~18, 16~19, 16~20, 16~21"
PTN-2010-306,2010-10-20,"Area 23, except 23-3 to 23-5,  ptn 23-6, 23-7",biotoxins,"area 23  except 23~3, 23~4, 23~5  ptn 23~6  23~7"
PTN-2010-307,2010-10-20,"SA 23-3 to 23-5, ptn 23-6, 23-7",biotoxins,"sa 23~3, 23~4, 23~5  ptn 23~6  23~7"
PTN-2010-308,2010-10-22,"Area 19, except 19-7 to 19-12",biotoxins,"area 19  except 19~7, 19~8, 19~9, 19~10, 19~11, 19~12"
PTN-2010-309,2010-10-22,SA 19-7 to 19-12,biotoxins,"sa 19~7, 19~8, 19~9, 19~10, 19~11, 19~12"
PTN-2010-310,2010-10-22,"Area 23, except 23-3 to 23-5, 23-7 and 23-9 to 23-11",biotoxins,"area 23  except 23~3, 23~4, 23~5  23~7 and 23~9, 23~10, 23~11"
PTN-2010-311,2010-10-22,"SA 23-3 to 23-5, 23-7 and 23-9 to 23-11",biotoxins,"sa 23~3, 23~4, 23~5  23~7 and 23~9, 23~10, 23~11"
PTN-2010-312,2010-10-22,"Areas 12 to 29, except 13-1 TO 13-12, 13-14 to 13-17, 14-5, 14-8 and 14-15, 15-5, 16-16, 18-1 and 23-4",biotoxins,"areas   except 13~1, 13~2, 13~3, 13~4, 13~5, 13~6, 13~7, 13~8, 13~9, 13~10, 13~11, 13~12  13~14, 13~15, 13~16, 13~17  14~5  14~8 and 14~15  15~5  16~16  18~1 and 23~4"
PTN-2010-314,2010-10-28,"Areas 12 to 29, except 13-1 TO 13-12, 13-14 to 13-17, 14-5, 14-8 and 14-15, 15-5, 16-16, 18-1, 23-4 and 23-10",biotoxins,"areas   except 13~1, 13~2, 13~3, 13~4, 13~5, 13~6, 13~7, 13~8, 13~9, 13~10, 13~11, 13~12  13~14, 13~15, 13~16, 13~17  14~5  14~8 and 14~15  15~5  16~16  18~1  23~4 and 23~10"
PTN-2010-315,2010-10-28,"Area 24, except 24-4, 24-6 to 24-10 and 24-14",biotoxins,"area 24  except 24~4  24~6, 24~7, 24~8, 24~9, 24~10 and 24~14"
PTN-2010-317,2010-10-29,"Area 23, except 23-3 to 23-5,  ptn 23-6, 23-7, 23-9 to 23-11",biotoxins,"area 23  except 23~3, 23~4, 23~5  ptn 23~6  23~7  23~9, 23~10, 23~11"
PTN-2010-318,2010-10-29,"SA 23-3 to 23-5, ptn 23-6, 23-7 and 23-9 to 23-11",biotoxins,"sa 23~3, 23~4, 23~5  ptn 23~6  23~7 and 23~9, 23~10, 23~11"
PTN-2010-319,2010-10-29,"Areas 12 to 29, except 13-1 TO 13-12, 13-14 to 13-17, 14-5, 14-8 and 14-15, 15-5, 16-16, 18-1, 23-4 and portion of 23-6 and 23-10",biotoxins,"areas   except 13~1, 13~2, 13~3, 13~4, 13~5, 13~6, 13~7, 13~8, 13~9, 13~10, 13~11, 13~12  13~14, 13~15, 13~16, 13~17  14~5  14~8 and 14~15  15~5  16~16  18~1  23~4 and portion of 23~6 and 23~10"
PTN-2010-320,2010-11-03,"Area 23, except 23-3 to 23-5, ptn 23-6 and 23-7 to 23-11",biotoxins,"area 23  except 23~3, 23~4, 23~5  ptn 23~6 and 23~7, 23~8, 23~9, 23~10, 23~11"
PTN-2010-321,2010-11-03,"SA 23-3 to 23-5, ptn 23-6 and 23-7 to 23-11",biotoxins,"sa 23~3, 23~4, 23~5  ptn 23~6 and 23~7, 23~8, 23~9, 23~10, 23~11"
PTN-2010-322,2010-11-03,SA 17-18 to 17-20,biotoxins,"sa 17~18, 17~19, 17~20"
PTN-2010-33,2010-01-14,Area 23 (except 23-4 to 23-11,biotoxins,"area 23 (except 23~4, 23~5, 23~6, 23~7, 23~8, 23~9, 23~10, 23~11"
PTN-2010-331,2010-11-10,Area 15 except SA 15-1 to 15-5,biotoxins,"area 15 except sa 15~1, 15~2, 15~3, 15~4, 15~5"
PTN-2010-333,2010-11-17,"Area 12, except 12-2 to 12-6, 12-8 to 12-11, 12-16 to 12-23, 12-26 and 12-35 to 12-39",biotoxins,"area 12  except 12~2, 12~3, 12~4, 12~5, 12~6  12~8, 12~9, 12~10, 12~11  12~16, 12~17, 12~18, 12~19, 12~20, 12~21, 12~22, 12~23  12~26 and 12~35, 12~36, 12~37, 12~38, 12~39"
PTN-2010-334,2010-11-17,"SA 12-2 to 12-6, 12-8 to 12-11, 12-16 to 12-23, 12-26 and 12-35 to 12-39",biotoxins,"sa 12~2, 12~3, 12~4, 12~5, 12~6  12~8, 12~9, 12~10, 12~11  12~16, 12~17, 12~18, 12~19, 12~20, 12~21, 12~22, 12~23  12~26 and 12~35, 12~36, 12~37, 12~38, 12~39"
PTN-2010-34,2010-01-14,SA 23-4 to 23-11,biotoxins,"sa 23~4, 23~5, 23~6, 23~7, 23~8, 23~9, 23~10, 23~11"
PTN-2010-340,2010-11-26,SA 23-3 to 23-11,biotoxins,"sa 23~3, 23~4, 23~5, 23~6, 23~7, 23~8, 23~9, 23~10, 23~11"
PTN-2010-341,2010-11-26,"Area 25, except 25-1 to 25-16",biotoxins,"area 25  except 25~1, 25~2, 25~3, 25~4, 25~5, 25~6, 25~7, 25~8, 25~9, 25~10, 25~11, 25~12, 25~13, 25~14, 25~15, 25~16"
PTN-2010-342,2010-11-26,25-1 to 25-16,biotoxins,"25~1, 25~2, 25~3, 25~4, 25~5, 25~6, 25~7, 25~8, 25~9, 25~10, 25~11, 25~12, 25~13, 25~14, 25~15, 25~16"
PTN-2010-344,2010-12-03,"Area 26, except SA 26-2 to 26-5",biotoxins,"area 26  except sa 26~2, 26~3, 26~4, 26~5"
PTN-2010-345,2010-12-03,SA 26-2 to 26-5,biotoxins,"sa 26~2, 26~3, 26~4, 26~5"
PTN-2010-349,2010-12-07,"Area 24, except 24-2 to 24-10, 24-13 and 24-14",biotoxins,"area 24  except 24~2, 24~3, 24~4, 24~5, 24~6, 24~7, 24~8, 24~9, 24~10  24~13 and 24~14"
PTN-2010-350,2010-12-07,SA 24-6 to 24-8,biotoxins,"sa 24~6, 24~7, 24~8"
PTN-2010-355,2010-12-10,"Area 7 except SA 7-3, 7-4, 7-8, 7-9, 7-12, 7-17 and 7-21 to 7-23",biotoxins,"area 7 except sa 7~3  7~4  7~8  7~9  7~12  7~17 and 7~21, 7~22, 7~23"
PTN-2010-36,2010-01-15,"Area 3 to 10 except 7-9, 7.15, 7-17, 7-18, 7-21 to 7-25",biotoxins,"area  except 7~9  7~15  7~17  7~18  7~21, 7~22, 7~23, 7~24, 7~25"
PTN-2010-37,2010-01-15,"7-9, 7-15, and 7-21 to 7-24",biotoxins,"7~9  7~15  and 7~21, 7~22, 7~23, 7~24"
PTN-2010-38,2010-01-20,"Area 3 to 10, except 7-9, 7-15, 7-17, 7-18, 7-21 to 7-25, 10-5)",biotoxins,"area   except 7~9  7~15  7~17  7~18  7~21, 7~22, 7~23, 7~24, 7~25  10~5)"
PTN-2010-40,2010-01-20,"Area 25 except 25-1 to 25-9, 25-11 to 25-15",biotoxins,"area 25 except 25~1, 25~2, 25~3, 25~4, 25~5, 25~6, 25~7, 25~8, 25~9  25~11, 25~12, 25~13, 25~14, 25~15"
PTN-2010-41,2010-01-20,"Area 25 : 25-1 to 25-9, 25-11 to 25-15",biotoxins,"area 25 : 25~1, 25~2, 25~3, 25~4, 25~5, 25~6, 25~7, 25~8, 25~9  25~11, 25~12, 25~13, 25~14, 25~15"
PTN-2010-43,2010-01-22,"Areas 3 to 10, except SA 7-9, 7-15, 7- 17, 7-18 and 7-21 to 7-25, 10-05",biotoxins,"areas   except sa 7~9  7~15  7- 17  7~18 and 7~21, 7~22, 7~23, 7~24, 7~25  10~05"
PTN-2010-45,2010-01-22,"Area 12 , 13, 14, 16 to 29, except 13-1 to 13-12, 13-14 to 13-17, 14-5, 14-8 to14-15, 16-16 and 17-20",biotoxins,"area 12   13  14    except 13~1, 13~2, 13~3, 13~4, 13~5, 13~6, 13~7, 13~8, 13~9, 13~10, 13~11, 13~12  13~14, 13~15, 13~16, 13~17  14~5  14~8 to14~15  16~16 and 17~20"
PTN-2010-5,2010-01-08,"Area 25 except 25-1 to 25-8, 25-15",biotoxins,"area 25 except 25~1, 25~2, 25~3, 25~4, 25~5, 25~6, 25~7, 25~8  25~15"
PTN-2010-50,2010-01-26,"Area 18, except SA 18-2 to 18-4 and 18-9",biotoxins,"area 18  except sa 18~2, 18~3, 18~4 and 18~9"
PTN-2010-51,2010-01-26,"Area 12 , 13, 14, 16 to 29, except 13-1 to 13-12, 13-14 to 13-17, 14-5, 14-8 to14-15, 16-16 and 17-20",biotoxins,"area 12   13  14    except 13~1, 13~2, 13~3, 13~4, 13~5, 13~6, 13~7, 13~8, 13~9, 13~10, 13~11, 13~12  13~14, 13~15, 13~16, 13~17  14~5  14~8 to14~15  16~16 and 17~20"
PTN-2010-54,2010-01-28,"Area 23, except 23-3 to 23-11",biotoxins,"area 23  except 23~3, 23~4, 23~5, 23~6, 23~7, 23~8, 23~9, 23~10, 23~11"
PTN-2010-57,2010-02-11,"Area 12 except 12-2 to 12-6, 12-26, 12-38, 12-39 and 12-41",biotoxins,"area 12 except 12~2, 12~3, 12~4, 12~5, 12~6  12~26  12~38  12~39 and 12~41"
PTN-2010-6,2010-01-08,SA 25-1 to 25-8 25-15,biotoxins,"sa 25~1, 25~2, 25~3, 25~4, 25~5, 25~6, 25~7, 25~8 25~15"
PTN-2010-60,2010-02-11,"Area 13, except 13-1 to 13-17",biotoxins,"area 13  except 13~1, 13~2, 13~3, 13~4, 13~5, 13~6, 13~7, 13~8, 13~9, 13~10, 13~11, 13~12, 13~13, 13~14, 13~15, 13~16, 13~17"
PTN-2010-61,2010-02-19,"Area 12 , 13, 14, 16 to 29, except 13-1 to 13-12, 13-14 to 13-17, 14-5, 14-8 to14-15, 15-4, 15-5, 16-16, 17-20, 18-1, 23-10",biotoxins,"area 12   13  14    except 13~1, 13~2, 13~3, 13~4, 13~5, 13~6, 13~7, 13~8, 13~9, 13~10, 13~11, 13~12  13~14, 13~15, 13~16, 13~17  14~5  14~8 to14~15  15~4  15~5  16~16  17~20  18~1  23~10"
PTN-2010-63,2010-02-19,"Areas 13 to 29, except SA 14-7, 14-11, 17-6 and 17-8",biotoxins,areas   except sa 14~7  14~11  17~6 and 17~8
PTN-2010-64,2010-02-24,"Area 12 to 29, except 13-1 to 13-12, 13-14 to 13-17, 14-5, 14-8 and14-15, 15-4, 15-5, 16-16, 17-20, 18-1,",biotoxins,"area   except 13~1, 13~2, 13~3, 13~4, 13~5, 13~6, 13~7, 13~8, 13~9, 13~10, 13~11, 13~12  13~14, 13~15, 13~16, 13~17  14~5  14~8 and14~15  15~4  15~5  16~16  17~20  18~1 "
PTN-2010-66,2010-02-26,SA 23-3 to 23-11,biotoxins,"sa 23~3, 23~4, 23~5, 23~6, 23~7, 23~8, 23~9, 23~10, 23~11"
PTN-2010-67,2010-02-26,SA 24-2 to 24-14,biotoxins,"sa 24~2, 24~3, 24~4, 24~5, 24~6, 24~7, 24~8, 24~9, 24~10, 24~11, 24~12, 24~13, 24~14"
PTN-2010-68,2010-02-26,"Areas 3-10 except 7-15, 7-17, 7-18, 7-22 to 7-24, 7-27, and 10-05",biotoxins,"areas 3~10 except 7~15  7~17  7~18  7~22, 7~23, 7~24  7~27  and 10~05"
PTN-2010-7,2010-01-08,"Area 23 (except 23-4 to 23-6 (except Useless Inlet), 23-7 to 23-11",biotoxins,"area 23 (except 23~4, 23~5, 23~6 ()  23~7, 23~8, 23~9, 23~10, 23~11"
PTN-2010-72,2010-03-02,"Areas 3-10 except 7-15, 7-17, 7-18, 7-22 to 7-24, 7-27, 7-28 and 10-05",biotoxins,"areas 3~10 except 7~15  7~17  7~18  7~22, 7~23, 7~24  7~27  7~28 and 10~05"
