geo_code,csd_name,topic,characteristic,total,year
5951034,Houston,Income in 2005,Median income after tax - Persons 15 years and over ($),26116,2006
5951038,Telkwa,Labour force activity,Employment rate,66.5,2006
5951038,Telkwa,Labour force activity,Unemployment rate,9.5,2006
5951038,Telkwa,Income in 2005,Median income - Persons 15 years and over ($),29543,2006
5951038,Telkwa,Income in 2005,Median income after tax - Persons 15 years and over ($),27209,2006
5951043,Smithers,Labour force activity,Employment rate,65.2,2006
5951043,Smithers,Labour force activity,Unemployment rate,8.5,2006
5951043,Smithers,Income in 2005,Median income - Persons 15 years and over ($),25884,2006
5951043,Smithers,Income in 2005,Median income after tax - Persons 15 years and over ($),23447,2006
5951051,Bulkley-Nechako A,Labour force activity,Employment rate,71.2,2006
5951051,Bulkley-Nechako A,Labour force activity,Unemployment rate,6.3,2006
5951051,Bulkley-Nechako A,Income in 2005,Median income - Persons 15 years and over ($),26778,2006
5951051,Bulkley-Nechako A,Income in 2005,Median income after tax - Persons 15 years and over ($),24213,2006
5951053,Bulkley-Nechako G,Labour force activity,Employment rate,59.5,2006
5951053,Bulkley-Nechako G,Labour force activity,Unemployment rate,14.2,2006
5951053,Bulkley-Nechako G,Income in 2005,Median income - Persons 15 years and over ($),26069,2006
5951053,Bulkley-Nechako G,Income in 2005,Median income after tax - Persons 15 years and over ($),24136,2006
5951801,Ye Koo Che 3,Labour force activity,Employment rate,NA,2006
5951801,Ye Koo Che 3,Labour force activity,Unemployment rate,NA,2006
5951801,Ye Koo Che 3,Income in 2005,Median income - Persons 15 years and over ($),NA,2006
5951801,Ye Koo Che 3,Income in 2005,Median income after tax - Persons 15 years and over ($),NA,2006
5951802,Nautley (Fort Fraser) 1,Labour force activity,Employment rate,43.5,2006
5951802,Nautley (Fort Fraser) 1,Labour force activity,Unemployment rate,28.6,2006
5951802,Nautley (Fort Fraser) 1,Income in 2005,Median income - Persons 15 years and over ($),0,2006
5951802,Nautley (Fort Fraser) 1,Income in 2005,Median income after tax - Persons 15 years and over ($),0,2006
5951803,Nak'azdli (Necoslie 1),Labour force activity,Employment rate,47,2006
5951803,Nak'azdli (Necoslie 1),Labour force activity,Unemployment rate,30.2,2006
5951803,Nak'azdli (Necoslie 1),Income in 2005,Median income - Persons 15 years and over ($),9200,2006
5951803,Nak'azdli (Necoslie 1),Income in 2005,Median income after tax - Persons 15 years and over ($),9536,2006
5951804,Sowchea 3,Labour force activity,Employment rate,NA,2006
5951804,Sowchea 3,Labour force activity,Unemployment rate,NA,2006
5951804,Sowchea 3,Income in 2005,Median income - Persons 15 years and over ($),NA,2006
5951804,Sowchea 3,Income in 2005,Median income after tax - Persons 15 years and over ($),NA,2006
5951805,Binche 2 (Pinchie 2),Labour force activity,Employment rate,26.7,2006
5951805,Binche 2 (Pinchie 2),Labour force activity,Unemployment rate,40,2006
5951805,Binche 2 (Pinchie 2),Income in 2005,Median income - Persons 15 years and over ($),0,2006
5951805,Binche 2 (Pinchie 2),Income in 2005,Median income after tax - Persons 15 years and over ($),0,2006
5951806,Seaspunkut 4,Labour force activity,Employment rate,NA,2006
5951806,Seaspunkut 4,Labour force activity,Unemployment rate,NA,2006
5951806,Seaspunkut 4,Income in 2005,Median income - Persons 15 years and over ($),NA,2006
5951806,Seaspunkut 4,Income in 2005,Median income after tax - Persons 15 years and over ($),NA,2006
5951807,Stellaquo (Stella) 1,Labour force activity,Employment rate,48.1,2006
5951807,Stellaquo (Stella) 1,Labour force activity,Unemployment rate,13.3,2006
5951807,Stellaquo (Stella) 1,Income in 2005,Median income - Persons 15 years and over ($),0,2006
5951807,Stellaquo (Stella) 1,Income in 2005,Median income after tax - Persons 15 years and over ($),0,2006
5951808,Tsay Cho 4,Labour force activity,Employment rate,NA,2006
5951808,Tsay Cho 4,Labour force activity,Unemployment rate,NA,2006
5951808,Tsay Cho 4,Income in 2005,Median income - Persons 15 years and over ($),NA,2006
5951808,Tsay Cho 4,Income in 2005,Median income after tax - Persons 15 years and over ($),NA,2006
5951809,Stony Creek 1,Labour force activity,Employment rate,29.5,2006
5951809,Stony Creek 1,Labour force activity,Unemployment rate,40.6,2006
5951809,Stony Creek 1,Income in 2005,Median income - Persons 15 years and over ($),8112,2006
5951809,Stony Creek 1,Income in 2005,Median income after tax - Persons 15 years and over ($),8112,2006
5951810,Tache 1,Labour force activity,Employment rate,20,2006
5951810,Tache 1,Labour force activity,Unemployment rate,42.1,2006
5951810,Tache 1,Income in 2005,Median income - Persons 15 years and over ($),7824,2006
5951810,Tache 1,Income in 2005,Median income after tax - Persons 15 years and over ($),7824,2006
5951811,Tacla Lake (Ferry Landing) 9,Labour force activity,Employment rate,NA,2006
5951811,Tacla Lake (Ferry Landing) 9,Labour force activity,Unemployment rate,NA,2006
5951811,Tacla Lake (Ferry Landing) 9,Income in 2005,Median income - Persons 15 years and over ($),NA,2006
5951811,Tacla Lake (Ferry Landing) 9,Income in 2005,Median income after tax - Persons 15 years and over ($),NA,2006
5951812,North Tacla Lake 7,Labour force activity,Employment rate,NA,2006
5951812,North Tacla Lake 7,Labour force activity,Unemployment rate,NA,2006
5951812,North Tacla Lake 7,Income in 2005,Median income - Persons 15 years and over ($),NA,2006
5951812,North Tacla Lake 7,Income in 2005,Median income after tax - Persons 15 years and over ($),NA,2006
5951813,Laketown 3,Labour force activity,Employment rate,NA,2006
5951813,Laketown 3,Labour force activity,Unemployment rate,NA,2006
5951813,Laketown 3,Income in 2005,Median income - Persons 15 years and over ($),NA,2006
5951813,Laketown 3,Income in 2005,Median income after tax - Persons 15 years and over ($),NA,2006
5951814,Dzitline Lee 9,Labour force activity,Employment rate,NA,2006
5951814,Dzitline Lee 9,Labour force activity,Unemployment rate,NA,2006
5951814,Dzitline Lee 9,Income in 2005,Median income - Persons 15 years and over ($),NA,2006
5951814,Dzitline Lee 9,Income in 2005,Median income after tax - Persons 15 years and over ($),NA,2006
5951815,Burns Lake 18,Labour force activity,Employment rate,62.5,2006
5951815,Burns Lake 18,Labour force activity,Unemployment rate,0,2006
5951815,Burns Lake 18,Income in 2005,Median income - Persons 15 years and over ($),0,2006
5951815,Burns Lake 18,Income in 2005,Median income after tax - Persons 15 years and over ($),0,2006
5951816,Kuz Che 5,Labour force activity,Employment rate,NA,2006
5951816,Kuz Che 5,Labour force activity,Unemployment rate,NA,2006
5951816,Kuz Che 5,Income in 2005,Median income - Persons 15 years and over ($),NA,2006
5951816,Kuz Che 5,Income in 2005,Median income after tax - Persons 15 years and over ($),NA,2006
5951817,Bihl' k'a 18,Labour force activity,Employment rate,NA,2006
5951817,Bihl' k'a 18,Labour force activity,Unemployment rate,NA,2006
5951817,Bihl' k'a 18,Income in 2005,Median income - Persons 15 years and over ($),NA,2006
5951817,Bihl' k'a 18,Income in 2005,Median income after tax - Persons 15 years and over ($),NA,2006
5951818,Cheslatta 1,Labour force activity,Employment rate,35.7,2006
5951818,Cheslatta 1,Labour force activity,Unemployment rate,33.3,2006
5951818,Cheslatta 1,Income in 2005,Median income - Persons 15 years and over ($),0,2006
5951818,Cheslatta 1,Income in 2005,Median income after tax - Persons 15 years and over ($),0,2006
5951819,Omineca 1,Labour force activity,Employment rate,NA,2006
5951819,Omineca 1,Labour force activity,Unemployment rate,NA,2006
5951819,Omineca 1,Income in 2005,Median income - Persons 15 years and over ($),NA,2006
5951819,Omineca 1,Income in 2005,Median income after tax - Persons 15 years and over ($),NA,2006
5951820,Palling 1,Labour force activity,Employment rate,62.5,2006
5951820,Palling 1,Labour force activity,Unemployment rate,0,2006
5951820,Palling 1,Income in 2005,Median income - Persons 15 years and over ($),0,2006
5951820,Palling 1,Income in 2005,Median income after tax - Persons 15 years and over ($),0,2006
5951821,Duncan Lake 2,Labour force activity,Employment rate,NA,2006
5951821,Duncan Lake 2,Labour force activity,Unemployment rate,NA,2006
5951821,Duncan Lake 2,Income in 2005,Median income - Persons 15 years and over ($),NA,2006
5951821,Duncan Lake 2,Income in 2005,Median income after tax - Persons 15 years and over ($),NA,2006
5951822,Francois Lake 7,Labour force activity,Employment rate,NA,2006
5951822,Francois Lake 7,Labour force activity,Unemployment rate,NA,2006
5951822,Francois Lake 7,Income in 2005,Median income - Persons 15 years and over ($),NA,2006
5951822,Francois Lake 7,Income in 2005,Median income after tax - Persons 15 years and over ($),NA,2006
5951823,Skins Lake 16A,Labour force activity,Employment rate,NA,2006
5951823,Skins Lake 16A,Labour force activity,Unemployment rate,NA,2006
5951823,Skins Lake 16A,Income in 2005,Median income - Persons 15 years and over ($),NA,2006
5951823,Skins Lake 16A,Income in 2005,Median income after tax - Persons 15 years and over ($),NA,2006
5951824,Skins Lake 16B,Labour force activity,Employment rate,NA,2006
5951824,Skins Lake 16B,Labour force activity,Unemployment rate,NA,2006
5951824,Skins Lake 16B,Income in 2005,Median income - Persons 15 years and over ($),NA,2006
5951824,Skins Lake 16B,Income in 2005,Median income after tax - Persons 15 years and over ($),NA,2006
5951825,Tatla West 11,Labour force activity,Employment rate,NA,2006
5951825,Tatla West 11,Labour force activity,Unemployment rate,NA,2006
5951825,Tatla West 11,Income in 2005,Median income - Persons 15 years and over ($),NA,2006
5951825,Tatla West 11,Income in 2005,Median income after tax - Persons 15 years and over ($),NA,2006
5951826,Uncha Lake 13A,Labour force activity,Employment rate,NA,2006
5951826,Uncha Lake 13A,Labour force activity,Unemployment rate,NA,2006
5951826,Uncha Lake 13A,Income in 2005,Median income - Persons 15 years and over ($),NA,2006
5951826,Uncha Lake 13A,Income in 2005,Median income after tax - Persons 15 years and over ($),NA,2006
5951827,Woyenne 27,Labour force activity,Employment rate,34,2006
5951827,Woyenne 27,Labour force activity,Unemployment rate,28.6,2006
5951827,Woyenne 27,Income in 2005,Median income - Persons 15 years and over ($),11142,2006
5951827,Woyenne 27,Income in 2005,Median income after tax - Persons 15 years and over ($),11142,2006
5951828,Babine  6,Labour force activity,Employment rate,15.4,2006
5951828,Babine  6,Labour force activity,Unemployment rate,75,2006
5951828,Babine  6,Income in 2005,Median income - Persons 15 years and over ($),0,2006
5951828,Babine  6,Income in 2005,Median income after tax - Persons 15 years and over ($),0,2006
5951829,Babine 25,Labour force activity,Employment rate,20,2006
5951829,Babine 25,Labour force activity,Unemployment rate,66.7,2006
5951829,Babine 25,Income in 2005,Median income - Persons 15 years and over ($),0,2006
5951829,Babine 25,Income in 2005,Median income after tax - Persons 15 years and over ($),0,2006
5951830,Jean Baptiste 28,Labour force activity,Employment rate,NA,2006
5951830,Jean Baptiste 28,Labour force activity,Unemployment rate,NA,2006
5951830,Jean Baptiste 28,Income in 2005,Median income - Persons 15 years and over ($),NA,2006
5951830,Jean Baptiste 28,Income in 2005,Median income after tax - Persons 15 years and over ($),NA,2006
5951833,Tatla't East 2,Labour force activity,Employment rate,NA,2006
5951833,Tatla't East 2,Labour force activity,Unemployment rate,NA,2006
5951833,Tatla't East 2,Income in 2005,Median income - Persons 15 years and over ($),NA,2006
5951833,Tatla't East 2,Income in 2005,Median income after tax - Persons 15 years and over ($),NA,2006
5951835,Isaac (Gale Lake) 8,Labour force activity,Employment rate,NA,2006
5951835,Isaac (Gale Lake) 8,Labour force activity,Unemployment rate,NA,2006
5951835,Isaac (Gale Lake) 8,Income in 2005,Median income - Persons 15 years and over ($),NA,2006
5951835,Isaac (Gale Lake) 8,Income in 2005,Median income after tax - Persons 15 years and over ($),NA,2006
5951837,Maxan Lake 4,Labour force activity,Employment rate,NA,2006
5951837,Maxan Lake 4,Labour force activity,Unemployment rate,NA,2006
5951837,Maxan Lake 4,Income in 2005,Median income - Persons 15 years and over ($),NA,2006
5951837,Maxan Lake 4,Income in 2005,Median income after tax - Persons 15 years and over ($),NA,2006
5951840,Williams Prairie Meadow 1A,Labour force activity,Employment rate,NA,2006
5951840,Williams Prairie Meadow 1A,Labour force activity,Unemployment rate,NA,2006
5951840,Williams Prairie Meadow 1A,Income in 2005,Median income - Persons 15 years and over ($),NA,2006
5951840,Williams Prairie Meadow 1A,Income in 2005,Median income after tax - Persons 15 years and over ($),NA,2006
5951841,North Tacla Lake 7A,Labour force activity,Employment rate,NA,2006
5951841,North Tacla Lake 7A,Labour force activity,Unemployment rate,NA,2006
5951841,North Tacla Lake 7A,Income in 2005,Median income - Persons 15 years and over ($),NA,2006
5951841,North Tacla Lake 7A,Income in 2005,Median income after tax - Persons 15 years and over ($),NA,2006
5951842,Bihlk'a 6,Labour force activity,Employment rate,NA,2006
5951842,Bihlk'a 6,Labour force activity,Unemployment rate,NA,2006
5951842,Bihlk'a 6,Income in 2005,Median income - Persons 15 years and over ($),NA,2006
5951842,Bihlk'a 6,Income in 2005,Median income after tax - Persons 15 years and over ($),NA,2006
5951844,Poison Creek 17A,Labour force activity,Employment rate,NA,2006
5951844,Poison Creek 17A,Labour force activity,Unemployment rate,NA,2006
5951844,Poison Creek 17A,Income in 2005,Median income - Persons 15 years and over ($),NA,2006
5951844,Poison Creek 17A,Income in 2005,Median income after tax - Persons 15 years and over ($),NA,2006
5951845,Tadinlay 15,Labour force activity,Employment rate,NA,2006
5951845,Tadinlay 15,Labour force activity,Unemployment rate,NA,2006
5951845,Tadinlay 15,Income in 2005,Median income - Persons 15 years and over ($),NA,2006
5951845,Tadinlay 15,Income in 2005,Median income after tax - Persons 15 years and over ($),NA,2006
5951846,Nedoats 11,Labour force activity,Employment rate,NA,2006
5951846,Nedoats 11,Labour force activity,Unemployment rate,NA,2006
5951846,Nedoats 11,Income in 2005,Median income - Persons 15 years and over ($),NA,2006
5951846,Nedoats 11,Income in 2005,Median income after tax - Persons 15 years and over ($),NA,2006
5951847,Babine Lake 21B,Labour force activity,Employment rate,NA,2006
5951847,Babine Lake 21B,Labour force activity,Unemployment rate,NA,2006
5951847,Babine Lake 21B,Income in 2005,Median income - Persons 15 years and over ($),NA,2006
5951847,Babine Lake 21B,Income in 2005,Median income after tax - Persons 15 years and over ($),NA,2006
5953007,Valemount,Labour force activity,Employment rate,70.1,2006
5953007,Valemount,Labour force activity,Unemployment rate,8.6,2006
5953007,Valemount,Income in 2005,Median income - Persons 15 years and over ($),23269,2006
5953007,Valemount,Income in 2005,Median income after tax - Persons 15 years and over ($),23002,2006
5953012,McBride,Labour force activity,Employment rate,75.5,2006
5953012,McBride,Labour force activity,Unemployment rate,2.7,2006
5953012,McBride,Income in 2005,Median income - Persons 15 years and over ($),21833,2006
5953012,McBride,Income in 2005,Median income after tax - Persons 15 years and over ($),20664,2006
5953019,Fraser-Fort George H,Labour force activity,Employment rate,69.6,2006
5953019,Fraser-Fort George H,Labour force activity,Unemployment rate,2.7,2006
5953019,Fraser-Fort George H,Income in 2005,Median income - Persons 15 years and over ($),19813,2006
5953019,Fraser-Fort George H,Income in 2005,Median income after tax - Persons 15 years and over ($),19283,2006
5953023,Prince George,Labour force activity,Employment rate,66.5,2006
5953023,Prince George,Labour force activity,Unemployment rate,7.6,2006
5953023,Prince George,Income in 2005,Median income - Persons 15 years and over ($),27670,2006
5953023,Prince George,Income in 2005,Median income after tax - Persons 15 years and over ($),25110,2006
5953033,Mackenzie,Labour force activity,Employment rate,69.1,2006
5953033,Mackenzie,Labour force activity,Unemployment rate,10.7,2006
5953033,Mackenzie,Income in 2005,Median income - Persons 15 years and over ($),38325,2006
5953033,Mackenzie,Income in 2005,Median income after tax - Persons 15 years and over ($),33556,2006
5953038,Fraser-Fort George A,Labour force activity,Employment rate,69.2,2006
5953038,Fraser-Fort George A,Labour force activity,Unemployment rate,8.5,2006
5953038,Fraser-Fort George A,Income in 2005,Median income - Persons 15 years and over ($),33227,2006
5953038,Fraser-Fort George A,Income in 2005,Median income after tax - Persons 15 years and over ($),29810,2006
5953042,Fraser-Fort George C,Labour force activity,Employment rate,68.5,2006
5953042,Fraser-Fort George C,Labour force activity,Unemployment rate,7.3,2006
5953042,Fraser-Fort George C,Income in 2005,Median income - Persons 15 years and over ($),33474,2006
5953042,Fraser-Fort George C,Income in 2005,Median income after tax - Persons 15 years and over ($),29866,2006
5953044,Fraser-Fort George D,Labour force activity,Employment rate,70,2006
5953044,Fraser-Fort George D,Labour force activity,Unemployment rate,6.6,2006
5953044,Fraser-Fort George D,Income in 2005,Median income - Persons 15 years and over ($),30451,2006
5953044,Fraser-Fort George D,Income in 2005,Median income after tax - Persons 15 years and over ($),26606,2006
5953046,Fraser-Fort George E,Labour force activity,Employment rate,47.5,2006
5953046,Fraser-Fort George E,Labour force activity,Unemployment rate,26.4,2006
5953046,Fraser-Fort George E,Income in 2005,Median income - Persons 15 years and over ($),27472,2006
5953046,Fraser-Fort George E,Income in 2005,Median income after tax - Persons 15 years and over ($),25310,2006
5953048,Fraser-Fort George F,Labour force activity,Employment rate,55.9,2006
5953048,Fraser-Fort George F,Labour force activity,Unemployment rate,9.1,2006
5953048,Fraser-Fort George F,Income in 2005,Median income - Persons 15 years and over ($),19586,2006
5953048,Fraser-Fort George F,Income in 2005,Median income after tax - Persons 15 years and over ($),18489,2006
5953050,Fraser-Fort George G,Labour force activity,Employment rate,59.7,2006
5953050,Fraser-Fort George G,Labour force activity,Unemployment rate,5.3,2006
5953050,Fraser-Fort George G,Income in 2005,Median income - Persons 15 years and over ($),30703,2006
5953050,Fraser-Fort George G,Income in 2005,Median income after tax - Persons 15 years and over ($),26351,2006
5953801,Fort George (Shelley) 2,Labour force activity,Employment rate,46.7,2006
5953801,Fort George (Shelley) 2,Labour force activity,Unemployment rate,40,2006
5953801,Fort George (Shelley) 2,Income in 2005,Median income - Persons 15 years and over ($),0,2006
5953801,Fort George (Shelley) 2,Income in 2005,Median income after tax - Persons 15 years and over ($),0,2006
5953802,McLeod Lake 1,Labour force activity,Employment rate,64.3,2006
5953802,McLeod Lake 1,Labour force activity,Unemployment rate,20,2006
5953802,McLeod Lake 1,Income in 2005,Median income - Persons 15 years and over ($),0,2006
5953802,McLeod Lake 1,Income in 2005,Median income after tax - Persons 15 years and over ($),0,2006
5953804,Parsnip 5,Labour force activity,Employment rate,NA,2006
5953804,Parsnip 5,Labour force activity,Unemployment rate,NA,2006
5953804,Parsnip 5,Income in 2005,Median income - Persons 15 years and over ($),NA,2006
5953804,Parsnip 5,Income in 2005,Median income after tax - Persons 15 years and over ($),NA,2006
5955003,Tumbler Ridge,Labour force activity,Employment rate,63,2006
5955003,Tumbler Ridge,Labour force activity,Unemployment rate,5.6,2006
5955003,Tumbler Ridge,Income in 2005,Median income - Persons 15 years and over ($),28357,2006
5955003,Tumbler Ridge,Income in 2005,Median income after tax - Persons 15 years and over ($),25301,2006
5955005,Pouce Coupe,Labour force activity,Employment rate,63.4,2006
5955005,Pouce Coupe,Labour force activity,Unemployment rate,4.1,2006
5955005,Pouce Coupe,Income in 2005,Median income - Persons 15 years and over ($),31875,2006
5955005,Pouce Coupe,Income in 2005,Median income after tax - Persons 15 years and over ($),28931,2006
5955010,Chetwynd,Labour force activity,Employment rate,72,2006
5955010,Chetwynd,Labour force activity,Unemployment rate,5.8,2006
5955010,Chetwynd,Income in 2005,Median income - Persons 15 years and over ($),27666,2006
5955010,Chetwynd,Income in 2005,Median income after tax - Persons 15 years and over ($),24362,2006
5955014,Dawson Creek,Labour force activity,Employment rate,67.5,2006
5955014,Dawson Creek,Labour force activity,Unemployment rate,6.1,2006
5955014,Dawson Creek,Income in 2005,Median income - Persons 15 years and over ($),26856,2006
5955014,Dawson Creek,Income in 2005,Median income after tax - Persons 15 years and over ($),24561,2006
5955021,Peace River D,Labour force activity,Employment rate,74.2,2006
5955021,Peace River D,Labour force activity,Unemployment rate,4.7,2006
5955021,Peace River D,Income in 2005,Median income - Persons 15 years and over ($),26319,2006
5955021,Peace River D,Income in 2005,Median income after tax - Persons 15 years and over ($),24444,2006
5955023,Peace River E,Labour force activity,Employment rate,71.3,2006
5955023,Peace River E,Labour force activity,Unemployment rate,7.5,2006
5955023,Peace River E,Income in 2005,Median income - Persons 15 years and over ($),23799,2006
5955023,Peace River E,Income in 2005,Median income after tax - Persons 15 years and over ($),22949,2006
5955025,Hudson's Hope,Labour force activity,Employment rate,58.5,2006
5955025,Hudson's Hope,Labour force activity,Unemployment rate,13,2006
5955025,Hudson's Hope,Income in 2005,Median income - Persons 15 years and over ($),22895,2006
5955025,Hudson's Hope,Income in 2005,Median income after tax - Persons 15 years and over ($),21666,2006
5955030,Taylor,Labour force activity,Employment rate,82,2006
5955030,Taylor,Labour force activity,Unemployment rate,1.7,2006
5955030,Taylor,Income in 2005,Median income - Persons 15 years and over ($),30053,2006
5955030,Taylor,Income in 2005,Median income after tax - Persons 15 years and over ($),27942,2006
5955034,Fort St. John,Labour force activity,Employment rate,76.6,2006
5955034,Fort St. John,Labour force activity,Unemployment rate,4.9,2006
5955034,Fort St. John,Income in 2005,Median income - Persons 15 years and over ($),30806,2006
5955034,Fort St. John,Income in 2005,Median income after tax - Persons 15 years and over ($),27831,2006
5955040,Peace River B,Labour force activity,Employment rate,70.2,2006
5955040,Peace River B,Labour force activity,Unemployment rate,4.8,2006
5955040,Peace River B,Income in 2005,Median income - Persons 15 years and over ($),23145,2006
5955040,Peace River B,Income in 2005,Median income after tax - Persons 15 years and over ($),21820,2006
5955042,Peace River C,Labour force activity,Employment rate,76.9,2006
5955042,Peace River C,Labour force activity,Unemployment rate,3.6,2006
5955042,Peace River C,Income in 2005,Median income - Persons 15 years and over ($),36391,2006
5955042,Peace River C,Income in 2005,Median income after tax - Persons 15 years and over ($),31946,2006
5955801,East Moberly Lake 169,Labour force activity,Employment rate,NA,2006
5955801,East Moberly Lake 169,Labour force activity,Unemployment rate,NA,2006
5955801,East Moberly Lake 169,Income in 2005,Median income - Persons 15 years and over ($),NA,2006
5955801,East Moberly Lake 169,Income in 2005,Median income after tax - Persons 15 years and over ($),NA,2006
5955802,West Moberly Lake 168A,Labour force activity,Employment rate,57.1,2006
5955802,West Moberly Lake 168A,Labour force activity,Unemployment rate,0,2006
5955802,West Moberly Lake 168A,Income in 2005,Median income - Persons 15 years and over ($),0,2006
5955802,West Moberly Lake 168A,Income in 2005,Median income after tax - Persons 15 years and over ($),0,2006
5955803,Blueberry River 205,Labour force activity,Employment rate,52.4,2006
5955803,Blueberry River 205,Labour force activity,Unemployment rate,0,2006
5955803,Blueberry River 205,Income in 2005,Median income - Persons 15 years and over ($),0,2006
5955803,Blueberry River 205,Income in 2005,Median income after tax - Persons 15 years and over ($),0,2006
5955804,Doig River 206,Labour force activity,Employment rate,41.2,2006
5955804,Doig River 206,Labour force activity,Unemployment rate,22.2,2006
5955804,Doig River 206,Income in 2005,Median income - Persons 15 years and over ($),0,2006
5955804,Doig River 206,Income in 2005,Median income after tax - Persons 15 years and over ($),0,2006
5955807,Fort Ware 1,Labour force activity,Employment rate,32.4,2006
5955807,Fort Ware 1,Labour force activity,Unemployment rate,54.5,2006
5955807,Fort Ware 1,Income in 2005,Median income - Persons 15 years and over ($),0,2006
5955807,Fort Ware 1,Income in 2005,Median income after tax - Persons 15 years and over ($),0,2006
5955808,Halfway River 168,Labour force activity,Employment rate,NA,2006
5955808,Halfway River 168,Labour force activity,Unemployment rate,NA,2006
5955808,Halfway River 168,Income in 2005,Median income - Persons 15 years and over ($),NA,2006
5955808,Halfway River 168,Income in 2005,Median income after tax - Persons 15 years and over ($),NA,2006
5955812,Ingenika Point,Labour force activity,Employment rate,NA,2006
5955812,Ingenika Point,Labour force activity,Unemployment rate,NA,2006
5955812,Ingenika Point,Income in 2005,Median income - Persons 15 years and over ($),NA,2006
5955812,Ingenika Point,Income in 2005,Median income after tax - Persons 15 years and over ($),NA,2006
5957022,Stikine Region,Labour force activity,Employment rate,82.4,2006
5957022,Stikine Region,Labour force activity,Unemployment rate,5,2006
5957022,Stikine Region,Income in 2005,Median income - Persons 15 years and over ($),33881,2006
5957022,Stikine Region,Income in 2005,Median income after tax - Persons 15 years and over ($),29874,2006
5957801,Dease Lake 9,Labour force activity,Employment rate,44.4,2006
5957801,Dease Lake 9,Labour force activity,Unemployment rate,33.3,2006
5957801,Dease Lake 9,Income in 2005,Median income - Persons 15 years and over ($),0,2006
5957801,Dease Lake 9,Income in 2005,Median income after tax - Persons 15 years and over ($),0,2006
5957802,Unnamed 10,Labour force activity,Employment rate,63.2,2006
5957802,Unnamed 10,Labour force activity,Unemployment rate,7.7,2006
5957802,Unnamed 10,Income in 2005,Median income - Persons 15 years and over ($),0,2006
5957802,Unnamed 10,Income in 2005,Median income after tax - Persons 15 years and over ($),0,2006
5957803,Five Mile Point  3,Labour force activity,Employment rate,76.9,2006
5957803,Five Mile Point  3,Labour force activity,Unemployment rate,18.2,2006
5957803,Five Mile Point  3,Income in 2005,Median income - Persons 15 years and over ($),0,2006
5957803,Five Mile Point  3,Income in 2005,Median income after tax - Persons 15 years and over ($),0,2006
5957804,Good Hope Lake,Labour force activity,Employment rate,NA,2006
5957804,Good Hope Lake,Labour force activity,Unemployment rate,NA,2006
5957804,Good Hope Lake,Income in 2005,Median income - Persons 15 years and over ($),NA,2006
5957804,Good Hope Lake,Income in 2005,Median income after tax - Persons 15 years and over ($),NA,2006
5957805,Tahltan 1,Labour force activity,Employment rate,NA,2006
5957805,Tahltan 1,Labour force activity,Unemployment rate,NA,2006
5957805,Tahltan 1,Income in 2005,Median income - Persons 15 years and over ($),NA,2006
5957805,Tahltan 1,Income in 2005,Median income after tax - Persons 15 years and over ($),NA,2006
5957813,Lower Post,Labour force activity,Employment rate,55.6,2006
5957813,Lower Post,Labour force activity,Unemployment rate,18.2,2006
5957813,Lower Post,Income in 2005,Median income - Persons 15 years and over ($),0,2006
5957813,Lower Post,Income in 2005,Median income after tax - Persons 15 years and over ($),0,2006
5957814,Liard River 3,Labour force activity,Employment rate,NA,2006
5957814,Liard River 3,Labour force activity,Unemployment rate,NA,2006
5957814,Liard River 3,Income in 2005,Median income - Persons 15 years and over ($),NA,2006
5957814,Liard River 3,Income in 2005,Median income after tax - Persons 15 years and over ($),NA,2006
5959005,Fort Nelson,Labour force activity,Employment rate,82.1,2006
5959005,Fort Nelson,Labour force activity,Unemployment rate,5.9,2006
5959005,Fort Nelson,Income in 2005,Median income - Persons 15 years and over ($),38508,2006
5959005,Fort Nelson,Income in 2005,Median income after tax - Persons 15 years and over ($),34416,2006
5959011,Northern Rockies A,Labour force activity,Employment rate,76.2,2006
5959011,Northern Rockies A,Labour force activity,Unemployment rate,7.4,2006
5959011,Northern Rockies A,Income in 2005,Median income - Persons 15 years and over ($),36864,2006
5959011,Northern Rockies A,Income in 2005,Median income after tax - Persons 15 years and over ($),33920,2006
5959013,Northern Rockies B,Labour force activity,Employment rate,70.6,2006
5959013,Northern Rockies B,Labour force activity,Unemployment rate,14.3,2006
5959013,Northern Rockies B,Income in 2005,Median income - Persons 15 years and over ($),0,2006
5959013,Northern Rockies B,Income in 2005,Median income after tax - Persons 15 years and over ($),0,2006
5959805,Fontas 1,Labour force activity,Employment rate,NA,2006
5959805,Fontas 1,Labour force activity,Unemployment rate,NA,2006
5959805,Fontas 1,Income in 2005,Median income - Persons 15 years and over ($),NA,2006
5959805,Fontas 1,Income in 2005,Median income after tax - Persons 15 years and over ($),NA,2006
5959806,Fort Nelson 2,Labour force activity,Employment rate,45.3,2006
5959806,Fort Nelson 2,Labour force activity,Unemployment rate,20,2006
5959806,Fort Nelson 2,Income in 2005,Median income - Persons 15 years and over ($),13600,2006
5959806,Fort Nelson 2,Income in 2005,Median income after tax - Persons 15 years and over ($),13600,2006
5959809,Kahntah 3,Labour force activity,Employment rate,NA,2006
5959809,Kahntah 3,Labour force activity,Unemployment rate,NA,2006
5959809,Kahntah 3,Income in 2005,Median income - Persons 15 years and over ($),NA,2006
5959809,Kahntah 3,Income in 2005,Median income after tax - Persons 15 years and over ($),NA,2006
5959810,Prophet River 4,Labour force activity,Employment rate,NA,2006
